pointid	x	y
1	201	584
2	200	585
3	199	585
4	198	585
5	197	585
6	196	585
7	195	585
8	194	585
9	193	586
10	192	586
11	191	587
12	190	587
13	189	587
14	188	587
15	187	587
16	186	587
17	185	587
18	184	586
19	183	586
20	182	586
21	181	587
22	181	588
23	181	589
24	181	590
25	180	591
26	180	592
27	179	593
28	178	593
29	177	593
30	176	593
31	175	592
32	174	593
33	173	594
34	172	594
35	171	594
36	170	594
37	169	595
38	169	596
39	168	597
40	168	598
41	168	599
42	169	600
43	170	601
44	170	602
45	171	603
46	171	604
47	171	605
48	172	606
49	172	607
50	172	608
51	172	609
52	172	610
53	172	611
54	172	612
55	172	613
56	173	614
57	173	615
58	173	616
59	173	617
60	173	618
61	172	619
62	172	620
63	172	621
64	173	622
65	174	623
66	175	624
67	175	625
68	176	626
69	176	627
70	177	628
71	177	629
72	177	630
73	178	631
74	178	632
75	179	633
76	180	634
77	181	635
78	182	636
79	183	637
80	183	638
81	184	639
82	184	640
83	185	641
84	185	642
85	186	643
86	186	644
87	186	645
88	187	646
89	188	646
90	189	647
91	190	647
92	191	648
93	192	649
94	193	650
95	194	650
96	195	651
97	196	652
98	197	653
99	197	654
100	198	655
101	198	656
102	198	657
103	198	658
104	198	659
105	199	660
106	200	661
107	201	662
108	201	663
109	202	664
110	203	664
111	204	664
112	205	664
113	206	665
114	206	666
115	206	667
116	207	668
117	207	669
118	208	670
119	209	671
120	210	671
121	211	671
122	212	672
123	213	672
124	214	673
125	215	674
126	216	674
127	217	674
128	218	674
129	219	674
130	220	674
131	221	675
132	222	676
133	223	676
134	224	677
135	225	678
136	225	679
137	225	680
138	226	681
139	227	681
140	228	681
141	229	681
142	230	681
143	231	681
144	232	681
145	233	682
146	234	683
147	235	683
148	236	682
149	237	681
150	238	681
151	239	681
152	240	681
153	241	681
154	242	682
155	243	683
156	244	683
157	245	683
158	246	683
159	247	683
160	248	683
161	249	684
162	250	684
163	251	684
164	252	685
165	253	685
166	254	684
167	255	683
168	256	683
169	257	683
170	258	683
171	259	683
172	260	683
173	261	683
174	262	683
175	263	683
176	264	684
177	265	684
178	266	684
179	267	684
180	268	684
181	269	684
182	270	685
183	271	685
184	272	685
185	273	685
186	274	684
187	275	684
188	276	684
189	277	684
190	278	684
191	279	684
192	280	684
193	281	684
194	282	684
195	283	683
196	284	683
197	285	682
198	286	682
199	287	682
200	288	682
201	289	682
202	290	682
203	291	683
204	292	683
205	293	683
206	294	684
207	295	685
208	296	685
209	297	685
210	298	685
211	299	685
212	300	685
213	301	685
214	302	685
215	303	685
216	304	685
217	305	685
218	306	685
219	307	684
220	308	683
221	309	682
222	310	682
223	311	682
224	312	682
225	313	682
226	314	683
227	315	684
228	316	684
229	317	684
230	318	685
231	319	685
232	320	685
233	321	686
234	322	687
235	323	687
236	324	688
237	325	689
238	326	689
239	327	690
240	328	691
241	329	691
242	330	691
243	331	692
244	332	691
245	332	690
246	331	689
247	330	689
248	329	689
249	328	688
250	327	687
251	326	687
252	325	686
253	324	686
254	323	685
255	322	684
256	321	683
257	321	682
258	320	681
259	319	680
260	318	679
261	317	678
262	316	677
263	315	676
264	314	676
265	313	675
266	312	674
267	311	673
268	311	672
269	311	671
270	311	670
271	310	669
272	310	668
273	309	667
274	308	667
275	307	666
276	307	665
277	307	664
278	307	663
279	307	662
280	307	661
281	306	660
282	305	659
283	304	658
284	303	658
285	302	657
286	301	656
287	300	656
288	299	655
289	298	654
290	297	654
291	296	653
292	296	652
293	296	651
294	295	650
295	294	650
296	293	650
297	292	650
298	291	650
299	290	649
300	289	649
301	288	649
302	287	648
303	286	648
304	285	647
305	284	646
306	283	646
307	282	645
308	281	644
309	280	643
310	279	643
311	278	642
312	278	641
313	278	640
314	277	639
315	276	639
316	275	639
317	274	639
318	273	639
319	272	638
320	271	637
321	271	636
322	270	635
323	270	634
324	269	633
325	269	632
326	268	631
327	268	630
328	268	629
329	267	628
330	266	628
331	265	628
332	264	628
333	263	628
334	262	627
335	262	626
336	261	625
337	260	624
338	260	623
339	260	622
340	259	621
341	258	621
342	257	621
343	256	621
344	255	622
345	255	623
346	255	624
347	255	625
348	254	626
349	253	626
350	252	626
351	251	626
352	250	626
353	249	626
354	248	625
355	247	625
356	246	624
357	245	624
358	244	623
359	243	623
360	242	622
361	241	622
362	240	621
363	239	620
364	238	619
365	237	618
366	236	618
367	235	617
368	234	616
369	233	615
370	232	614
371	231	613
372	230	612
373	229	611
374	228	611
375	227	610
376	226	609
377	225	608
378	224	607
379	223	606
380	222	605
381	222	604
382	221	603
383	221	602
384	220	601
385	220	600
386	220	599
387	219	598
388	219	597
389	219	596
390	219	595
391	219	594
392	219	593
393	219	592
394	219	591
395	218	590
396	218	589
397	218	588
398	218	587
399	217	586
400	216	587
401	216	588
402	215	589
403	214	589
404	213	589
405	212	589
406	211	588
407	210	588
408	209	588
409	208	588
410	207	588
411	206	587
412	205	586
413	204	586
414	203	586
415	202	585
416	201	584
